epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.389,2.07032,3.16466,1.98165,0.01405,0.71525,0.16726,0.04898,2.21892,3.30817,2.1888,0.00018337,0.00018337,0.00018337
2,315.59,1.91972,2.66202,1.91812,0.01621,0.74376,0.17126,0.0501,2.28336,3.19014,2.17762,0.000377987,0.000377987,0.000377987
3,442.49,1.86981,2.39341,1.85309,0.62787,0.12409,0.11275,0.03519,2.34978,3.03326,2.38031,0.000566947,0.000566947,0.000566947
4,567.001,1.83382,2.21288,1.77494,0.23876,0.24033,0.10789,0.04034,2.35591,3.04104,2.43899,0.000750248,0.000750248,0.000750248
5,697.751,1.94518,2.35591,1.89877,0.32475,0.16031,0.10443,0.03196,2.43249,3.27167,2.77142,0.00092789,0.00092789,0.00092789
6,824.172,1.86142,2.25788,1.84715,0.28293,0.15441,0.08745,0.02438,2.56371,3.24201,2.83182,0.00109987,0.00109987,0.00109987
7,947.431,1.88448,2.21346,1.85363,0.12069,0.19045,0.08138,0.02261,2.61506,4.2168,3.02209,0.0012662,0.0012662,0.0012662
8,1074.3,1.88093,2.1991,1.85872,0.11137,0.17301,0.0599,0.01687,2.67185,3.40986,3.04842,0.00142687,0.00142687,0.00142687
9,1197.3,1.85476,2.09095,1.80735,0.11655,0.28694,0.08669,0.02423,2.71145,3.51306,3.04165,0.00147839,0.00147839,0.00147839
10,1319.9,1.91489,2.15301,1.87991,0.15486,0.14327,0.06844,0.02076,2.60562,3.39302,3.13998,0.00145481,0.00145481,0.00145481
11,1443.62,1.85666,2.08253,1.82142,0.12368,0.17531,0.05852,0.01752,2.58231,3.68465,3.20811,0.00143124,0.00143124,0.00143124
12,2240,1.81841,2.01247,1.75932,0.11038,0.15624,0.0629,0.01729,2.59268,3.29009,2.9658,0.00140766,0.00140766,0.00140766
13,2371.39,1.80194,2.29891,1.80499,0.1917,0.22058,0.13327,0.03889,2.65503,3.06558,2.97784,0.00138409,0.00138409,0.00138409
14,2522.28,1.78075,2.00013,1.77591,0.16599,0.26519,0.11677,0.03312,2.54748,3.33958,2.69714,0.00136051,0.00136051,0.00136051
15,2643.87,1.80627,2.04112,1.80311,0.22462,0.20702,0.10041,0.02672,2.54863,3.38793,2.52644,0.00133693,0.00133693,0.00133693
16,2760.88,1.77242,2.09363,1.79396,0.16428,0.22517,0.10959,0.03028,2.73412,3.26197,2.74261,0.00131336,0.00131336,0.00131336
17,2877.48,1.7964,2.05921,1.79063,0.19576,0.22396,0.15021,0.0406,2.65338,3.29852,2.70745,0.00128978,0.00128978,0.00128978
18,3016.6,1.80006,1.97257,1.78584,0.32739,0.32033,0.23609,0.07132,2.46254,2.7857,2.55232,0.00126621,0.00126621,0.00126621
19,3153.26,1.77201,1.91218,1.78546,0.30362,0.36242,0.21115,0.06569,2.53388,2.86674,2.59057,0.00124263,0.00124263,0.00124263
20,3301.35,1.78024,1.94243,1.74344,0.32485,0.35424,0.24068,0.07065,2.5194,2.67418,2.48377,0.00121905,0.00121905,0.00121905
21,3467.87,1.75702,2.02309,1.75656,0.26741,0.38696,0.20774,0.06535,2.46581,2.62112,2.44767,0.00119548,0.00119548,0.00119548
22,3630.92,1.73155,1.88073,1.71937,0.34217,0.37046,0.2606,0.08293,2.37161,2.53933,2.42702,0.0011719,0.0011719,0.0011719
23,3755.44,1.74313,1.97853,1.76334,0.32411,0.29093,0.21922,0.07135,2.43195,2.69589,2.49744,0.00114832,0.00114832,0.00114832
24,3881.28,1.72587,1.7614,1.69435,0.28774,0.32193,0.20713,0.06696,2.43853,2.79018,2.53709,0.00112475,0.00112475,0.00112475
25,4017.81,1.75513,1.94309,1.7281,0.31338,0.35759,0.25899,0.08075,2.39725,2.57927,2.4449,0.00110117,0.00110117,0.00110117
26,4168.47,1.69402,1.84351,1.66571,0.32452,0.36844,0.2574,0.08635,2.37682,2.45242,2.3381,0.0010776,0.0010776,0.0010776
27,4380.16,1.73797,1.97119,1.73088,0.28412,0.35182,0.2427,0.08206,2.47393,2.46328,2.44916,0.00105402,0.00105402,0.00105402
28,4520.05,1.64283,1.75845,1.65601,0.33526,0.34677,0.23902,0.06901,2.48466,2.62644,2.46845,0.00103044,0.00103044,0.00103044
29,4646.42,1.68461,1.76907,1.70249,0.33842,0.32087,0.25405,0.08073,2.42675,2.57699,2.40133,0.00100687,0.00100687,0.00100687
30,4782.75,1.83901,2.12309,1.84827,0.31181,0.38952,0.23397,0.07507,2.415,2.46842,2.37462,0.000983292,0.000983292,0.000983292
31,4916.65,1.67844,1.75375,1.68173,0.33521,0.32356,0.2137,0.06306,2.42531,2.60262,2.42667,0.000959716,0.000959716,0.000959716
32,5048.34,1.64931,1.70352,1.67317,0.29407,0.33462,0.20717,0.06325,2.4598,2.60985,2.42736,0.00093614,0.00093614,0.00093614
33,5180.09,1.67484,1.84236,1.68814,0.33975,0.37336,0.25902,0.08593,2.45469,2.54308,2.39402,0.000912563,0.000912563,0.000912563
34,5313.43,1.58716,1.74856,1.61296,0.28112,0.28721,0.2057,0.06095,2.57612,2.72594,2.47605,0.000888987,0.000888987,0.000888987
35,5445.71,1.62631,1.65867,1.61577,0.39211,0.34304,0.27461,0.08458,2.49344,2.51643,2.40362,0.000865411,0.000865411,0.000865411
36,5609.21,1.57134,1.6238,1.60678,0.3136,0.34745,0.23167,0.07094,2.5618,2.47826,2.47268,0.000841835,0.000841835,0.000841835
37,5735.61,1.64465,1.65388,1.64758,0.29027,0.36606,0.23677,0.07274,2.51261,2.4267,2.46509,0.000818259,0.000818259,0.000818259
38,5862.69,1.57639,1.63579,1.60578,0.38369,0.27828,0.22824,0.07189,2.43335,2.43442,2.4097,0.000794683,0.000794683,0.000794683
39,5989.14,1.6173,1.64949,1.62772,0.36171,0.31222,0.23543,0.0756,2.40163,2.54285,2.37696,0.000771107,0.000771107,0.000771107
40,6118.76,1.58266,1.60974,1.59519,0.42833,0.27681,0.28067,0.09685,2.36786,2.45411,2.37312,0.00074753,0.00074753,0.00074753
41,6291.09,1.55808,1.64777,1.6156,0.33891,0.42979,0.29784,0.0922,2.42066,2.41415,2.36331,0.000723954,0.000723954,0.000723954
42,6417.11,1.57285,1.44199,1.5815,0.32073,0.32076,0.2238,0.06695,2.50386,2.72655,2.39547,0.000700378,0.000700378,0.000700378
43,6541.67,1.54378,1.48974,1.56457,0.41347,0.32289,0.27764,0.08177,2.46993,2.47335,2.40642,0.000676802,0.000676802,0.000676802
44,6672.86,1.55113,1.54256,1.61554,0.36141,0.3998,0.27542,0.07927,2.4542,2.36848,2.36659,0.000653226,0.000653226,0.000653226
45,6844.59,1.53702,1.48486,1.54976,0.35639,0.3716,0.25668,0.07724,2.47351,2.59444,2.40418,0.00062965,0.00062965,0.00062965
46,6974.95,1.61626,1.59824,1.68511,0.39086,0.33185,0.27095,0.08559,2.41469,2.53401,2.37984,0.000606074,0.000606074,0.000606074
47,7122.44,1.50183,1.46198,1.54268,0.28578,0.36844,0.2241,0.07103,2.42546,2.5087,2.39331,0.000582497,0.000582497,0.000582497
48,7296.84,1.40976,1.43128,1.52874,0.32476,0.34763,0.25004,0.0821,2.37937,2.46593,2.39268,0.000558921,0.000558921,0.000558921
49,7466.29,1.44923,1.44631,1.52988,0.35181,0.33641,0.27646,0.10347,2.34549,2.38601,2.39841,0.000535345,0.000535345,0.000535345
50,7594.06,1.52379,1.47184,1.54814,0.39097,0.36033,0.29159,0.10664,2.34171,2.36321,2.37333,0.000511769,0.000511769,0.000511769
51,7740.65,1.47946,1.43225,1.52386,0.43331,0.33951,0.30228,0.10644,2.36267,2.33963,2.37308,0.000488193,0.000488193,0.000488193
52,7876.24,1.46438,1.34364,1.52826,0.38859,0.35173,0.28557,0.09806,2.40555,2.4324,2.4596,0.000464617,0.000464617,0.000464617
53,8015.8,1.43984,1.29668,1.4869,0.41826,0.35622,0.28222,0.09555,2.39042,2.43018,2.40936,0.000441041,0.000441041,0.000441041
54,8145.76,1.43216,1.3492,1.48455,0.41028,0.35167,0.27384,0.08555,2.41851,2.4158,2.38318,0.000417464,0.000417464,0.000417464
55,8283.31,1.36331,1.31208,1.44326,0.34708,0.36871,0.27191,0.09048,2.40757,2.41259,2.37965,0.000393888,0.000393888,0.000393888
56,8408.11,1.4573,1.40908,1.53637,0.33911,0.36114,0.26095,0.08492,2.44366,2.44698,2.41218,0.000370312,0.000370312,0.000370312
57,8538.11,1.40126,1.30577,1.46347,0.39768,0.34932,0.28138,0.09417,2.40129,2.41406,2.40255,0.000346736,0.000346736,0.000346736
58,8681.91,1.43141,1.81167,1.53504,0.37053,0.3732,0.27734,0.09681,2.39859,2.426,2.39537,0.00032316,0.00032316,0.00032316
59,8805.9,1.38146,1.30657,1.45188,0.37371,0.33566,0.26284,0.09206,2.44016,2.44233,2.43609,0.000299584,0.000299584,0.000299584
60,8954.32,1.37971,1.28468,1.49656,0.35551,0.33517,0.27156,0.09166,2.44623,2.42025,2.44593,0.000276008,0.000276008,0.000276008
61,9135.44,1.39097,1.42678,1.47707,0.30887,0.40195,0.25794,0.0898,2.45625,2.41235,2.45918,0.000252431,0.000252431,0.000252431
62,9285.9,1.3221,1.31636,1.47149,0.3389,0.3431,0.26529,0.09125,2.45179,2.42876,2.48798,0.000228855,0.000228855,0.000228855
63,9425.5,1.44169,1.33137,1.49057,0.37894,0.31276,0.27003,0.09177,2.45031,2.4411,2.46158,0.000205279,0.000205279,0.000205279
64,9593.25,1.35564,1.25003,1.46035,0.34021,0.35303,0.27369,0.09278,2.42341,2.39978,2.44009,0.000181703,0.000181703,0.000181703
65,9767.87,1.23102,1.17085,1.41462,0.37976,0.36715,0.29035,0.09694,2.43054,2.34631,2.44541,0.000158127,0.000158127,0.000158127
66,9911.55,1.28946,1.08906,1.38969,0.37206,0.35384,0.27819,0.09266,2.45297,2.34816,2.45443,0.000134551,0.000134551,0.000134551
